"","cuenca","year","month","pp_mes"
"233",101,1998,5,168.315872266509
"234",101,1998,6,213.833503839581
"235",101,1998,7,178.853492488
"236",101,1998,8,259.678954962121
"237",101,1998,9,110.52844358023
"238",101,1998,10,33.6853348959535
"239",101,1998,11,52.4529136261231
"240",101,1998,12,52.8738168601069
"241",101,1999,1,32.8722575830846
"242",101,1999,2,50.8374757240263
"243",101,1999,3,102.936730835594
"244",101,1999,4,61.4519084367585
"245",101,1999,5,216.352907193048
"246",101,1999,6,464.227571831196
"247",101,1999,7,188.711452922131
"248",101,1999,8,387.225045165162
"249",101,1999,9,257.556778145631
"250",101,1999,10,54.9277542223154
"251",101,1999,11,81.3788750629354
"252",101,1999,12,50.0798220338462
"253",101,2000,1,42.4678751125785
"254",101,2000,2,199.907780731103
"255",101,2000,3,97.1018941113077
"256",101,2000,4,131.886445792148
"257",101,2000,5,164.229481919817
"258",101,2000,6,743.077633328385
"259",101,2000,7,319.435103868919
"260",101,2000,8,207.441706155996
"261",101,2000,9,245.689324641018
"262",101,2000,10,143.601746003116
"263",101,2000,11,108.676608945183
"264",101,2000,12,134.135200573013
"265",101,2001,1,172.527873615172
"266",101,2001,2,51.703959183
"267",101,2001,3,116.800640602408
"268",101,2001,4,98.7933913825846
"269",101,2001,5,463.98725128681
"270",101,2001,6,462.061788070592
"271",101,2001,7,567.422994630057
"272",101,2001,8,244.248016240862
"273",101,2001,9,97.3670582773577
"274",101,2001,10,53.5563707737538
"275",101,2001,11,106.021878655265
"276",101,2001,12,18.0841466602077
"277",101,2002,1,36.2936496812315
"278",101,2002,2,73.7384118308231
"279",101,2002,3,213.274727873923
"280",101,2002,4,179.920943851636
"281",101,2002,5,368.580269949208
"282",101,2002,6,290.970126173769
"283",101,2002,7,245.827365143567
"284",101,2002,8,356.503544591449
"285",101,2002,9,241.298854709082
"286",101,2002,10,495.864315728601
"287",101,2002,11,229.417405958965
"288",101,2002,12,122.004224285449
"289",101,2003,1,78.2335816758126
"290",101,2003,2,32.0781198751615
"291",101,2003,3,52.0269812309538
"292",101,2003,4,86.7917022338563
"293",101,2003,5,124.216831020035
"294",101,2003,6,674.498910146154
"295",101,2003,7,243.296801018116
"296",101,2003,8,189.079596073077
"297",101,2003,9,288.045075813459
"298",101,2003,10,149.617892099592
"299",101,2003,11,161.349660707172
"300",101,2003,12,141.207960947412
"301",101,2004,1,18.4581648751769
"302",101,2004,2,50.1578291926845
"303",101,2004,3,118.601387964851
"304",101,2004,4,378.930765962384
"305",101,2004,5,31.0419969410692
"306",101,2004,6,567.581907169154
"307",101,2004,7,341.644762236733
